Date,Open,High,Low,Close,Volume,MarketCap
2019/6/13,8145.55 ,8311.57 ,8087.06 ,8230.92 ,18669407147.00 ,146160317148.00 
2019/6/12,7925.43 ,8196.65 ,7862.36 ,8145.86 ,19034432883.00 ,144634684711.00 
2019/6/11,8004.24 ,8026.39 ,7772.80 ,7927.71 ,17107279932.00 ,140748537530.00 
2019/6/10,7692.28 ,8031.91 ,7586.73 ,8000.33 ,18689275118.00 ,142023351079.00 
2019/6/9,7949.67 ,7975.97 ,7583.22 ,7688.08 ,16610726547.00 ,136465098533.00 
2019/6/8,8036.77 ,8076.89 ,7837.61 ,7954.13 ,16522722810.00 ,141172841635.00 
2019/6/7,7826.90 ,8126.15 ,7788.37 ,8043.95 ,19141423231.00 ,142754693588.00 
